                    1000           LOG            Wed May 08 08:04:57 2024
                    1000           LOG            Wed May 08 08:12:40 2024
                    1000           LOG            Wed May 08 08:14:36 2024
                    1000           LOG            Wed May 08 08:15:42 2024
                    1000           LOG            Wed May 08 08:17:33 2024
                    1000           LOG            Wed May 08 08:18:43 2024
                    1000           LOG            Wed May 08 08:32:49 2024
                    1000           LOG            Wed May 08 08:41:42 2024
                    1000           LOG            Wed May 08 09:07:47 2024
                    1              LOGOUT         Wed May 08 09:15:53 2024
admin               1000           LGI            Mon May 20 20:57:41 2024
admin               1000           LGI            Mon May 20 20:57:48 2024
admin               1000           LGI            Mon May 20 21:01:39 2024
admin               1000           LGI            Mon May 20 21:01:45 2024
admin               1000           LGI            Mon May 20 21:03:54 2024
admin               1000           LGI            Mon May 20 21:09:47 2024
admin               1000           RN             Mon May 20 21:09:58 2024
admin               1000           LGI            Mon May 20 21:12:39 2024
admin               1000           LGI            Tue May 21 06:42:29 2024
admin               1000           RN             Tue May 21 06:42:40 2024
admin               1000           RN             Tue May 21 06:42:51 2024
admin               1000           LGI            Tue May 21 19:24:25 2024
1234                1000           RN             Tue May 21 19:24:33 2024
admin               1000           LGI            Tue May 21 19:25:15 2024
1234                1000           RN             Tue May 21 19:25:23 2024
admin               1000           LGI            Tue May 21 19:26:45 2024
1234                1000           RN             Tue May 21 19:26:55 2024
admin               1000           LGI            Tue May 21 19:29:51 2024
